,TF,Target
0,SIX5,SNF8
1,E2F1,LINC00239
2,GATA1,SZT2
3,E2F1,ZNF660
4,BRCA1,AC104653.1
5,E2F1,IGKV1-27
6,NOTCH1,CHN1
7,KLF1,RPS6KA1
8,PBX3,RNASEH2A
9,HDAC1,CTB-55O6.12
10,IRF4,RFC4
11,ERMAP,RP11-36B15.1
12,EGR2,RP11-514O12.4
13,E2F1,FAM72A
14,FOXM1,RP4-563E14.1
15,FOXM1,SNTA1
16,BRCA1,USP13
17,HDAC1,C20orf96
18,ERMAP,KIF14
19,MYB,VAMP1
20,SP1,KSR1
21,GATA1,RRNAD1
22,NOTCH1,DOT1L
23,ERG,KDM6A
24,FOXM1,RP11-540O11.6
25,NOTCH1,CTU2
26,E2F1,HHAT
27,MAX,RP11-217B7.3
28,ERG,ECT2
29,VDR,FOXM1
30,SIX5,FZD2
31,VDR,C17orf53
32,EGR2,TMEM133
33,EGR2,SLC4A11
34,TAL1,HTR3A
35,IRF4,PAPD5
36,ERG,GPR162
37,GATA1,DNMBP
38,NOTCH1,POMT1
39,FOXM1,ROBO3
40,VDR,RP3-460G2.2
41,CEBPB,MLXIPL
42,HDAC1,IGKV4-1
43,ERG,SNAPC3
44,HDAC1,C5orf34
45,NOTCH1,CD47
46,ETS1,GRAMD1A
47,TCF3,C14orf93
48,MAX,MACF1
49,TAL1,TEKT2
50,BRCA1,BPI
51,KLF1,LRRC8D
52,GATA1,TMEM171
53,VDR,BCDIN3D-AS1
54,MYH11,CACNB4
55,KLF1,RP11-10A14.5
56,GATA1,SGOL1
57,TCF12,RETSAT
58,TAL1,RBFOX2
59,GATA1,TNF
60,ERMAP,RP11-395G23.3
61,VDR,PLPP2
62,CEBPB,NUAK1
63,FOS,EEF1A1
64,ERG,RP11-84C10.2
65,ERG,OTUD7B
66,E2F1,ADGRB3
67,E2F1,GFRA2
68,EGR2,ACTB
69,MYB,CCT7
70,EGR2,LEXM
71,ERG,GRB2
72,ERG,MLXIPL
73,TAL1,OPLAH
74,HDAC1,LINC01503
75,E2F1,SPNS2
76,MYH11,PRDX6
77,E2F1,SLC52A3
78,HDAC1,ANKRD40
79,MEIS1,LRP12
80,ERG,LASP1
81,SRF,CTB-58E17.1
82,TCF12,GCNT1
83,TAL1,MYL9
84,MYH11,FAM102B
85,ERG,NUAK1
86,GATA1,RPTOR
87,IRF4,RTN2
88,GATA1,DPPA4
89,E2F1,CD52
90,E2F1,HSPBAP1
91,TCF3,HIC1
92,SRF,ABCA2
93,VDR,RP13-297E16.4
94,MYB,PDE6H
95,MYH11,PTK2
96,HDAC1,CYBRD1
97,HDAC1,TBC1D2B
98,MYB,CXCR6
99,MYB,TOR4A
100,CEBPB,SEPP1
101,KLF1,RP11-363J20.1
102,SRF,USP30-AS1
103,ERMAP,ARHGAP29
104,SIX5,SCAND1
105,CEBPB,ZFYVE26
106,TCF3,LHPP
107,MYH11,RP11-473M20.9
108,HDAC1,ZMIZ1
109,HDAC1,LINC01004
110,FOXM1,IGKV1-16
111,SIX5,FUT4
112,STAT1,PCNXL3
113,E2F1,TRIM36
114,KLF1,PYCRL
115,CTCF,TTYH3
116,GATA1,SERHL2
117,KLF1,MYO19
118,TCF3,HIRA
119,MAX,VAMP8
120,TAL1,TMCC2
121,ERG,STAT1
122,CEBPB,CDK9
123,KLF1,ACVR2A
124,GATA1,FARP2
125,ERG,C8orf44
126,FOXM1,C9orf163
127,CEBPB,DPF3
128,VDR,SYBU
