,TF,Target
0,7123,7369
1,2296,4058
2,2892,7684
3,2296,8915
4,874,128
5,2296,3534
6,4999,1526
7,3878,6767
8,5273,6167
9,3216,1826
10,3660,6087
11,2471,6420
12,2344,6513
13,2296,2636
14,2798,6675
15,2798,7384
16,874,8464
17,3216,1014
18,2471,3843
19,4737,8499
20,7427,3942
21,2892,6791
22,4999,2218
23,2463,3804
24,2798,6524
25,4999,1939
26,2296,3265
27,4381,6339
28,2463,2316
29,8521,2798
30,7123,2848
31,8521,964
32,2344,7936
33,2344,7272
34,7700,3435
35,3660,5237
36,2463,3075
37,2892,2199
38,4999,5615
39,2798,6226
40,8521,6664
41,1433,4559
42,3216,3537
43,2463,7364
44,3216,1049
45,4999,1334
46,2487,3100
47,7764,945
48,4381,4288
49,7700,7788
50,874,873
51,3878,4231
52,2892,7956
53,8521,794
54,4750,1101
55,3878,6263
56,2892,7045
57,7763,6081
58,7700,6022
59,2892,8040
60,2471,6436
61,8521,5552
62,1433,5067
63,2792,2323
64,2463,6621
65,2463,5179
66,2296,233
67,2296,2935
68,2344,187
69,4737,1292
70,2344,4015
71,2463,3108
72,2463,4559
73,7700,5140
74,3216,4139
75,2296,7469
76,4750,5708
77,2296,7278
78,3216,412
79,4450,4204
80,2463,3977
81,7507,1828
82,7763,2916
83,7700,4756
84,4750,2536
85,2463,5067
86,2892,6775
87,3660,6814
88,2892,2231
89,2296,1336
90,2296,3428
91,7764,3270
92,7507,17
93,8521,6653
94,4737,5323
95,4750,5832
96,3216,1984
97,3216,7731
98,4737,1965
99,4737,8104
100,1433,6982
101,3878,6414
102,7507,8472
103,2471,543
104,7123,6894
105,1433,8763
106,7764,4032
107,4750,6489
108,3216,8771
109,3216,4113
110,2798,3533
111,7123,2836
112,7570,5296
113,2296,8209
114,3878,5886
115,1851,8312
116,2892,6993
117,3878,4762
118,7764,3280
119,4381,8503
120,7700,7910
121,2463,7570
122,1433,1410
123,3878,199
124,2892,2657
125,2463,1067
126,2798,1074
127,1433,2222
128,8521,7654
129,7700,244
130,7570,4524
131,1433,156
132,4750,7469
133,1433,959
134,7507,449
135,7700,4744
136,2296,274
137,874,5044
138,4381,892
139,2463,2673
140,2296,6269
141,2892,7598
142,1410,7455
143,3878,6369
144,2304,3417
145,2792,688
146,3216,8118
147,2792,8081
148,8521,6207
149,3878,6593
150,1433,8702
151,3878,136
152,4737,8276
153,4750,3643
154,3216,6392
155,1433,6849
156,4737,986
157,4750,3744
158,3878,7657
159,7764,2999
160,2463,4766
161,2463,959
162,2798,4095
163,3216,7844
164,4381,2882
165,4737,2991
166,2471,7517
167,7764,7847
168,5273,2251
169,1433,3106
170,2463,5277
171,7764,1114
172,2296,7976
173,8521,1484
174,4381,3425
175,2296,7525
176,4688,6223
177,4737,7835
178,7764,1685
179,2296,384
180,2296,3458
181,7700,1840
182,3878,8991
183,3878,1646
184,2296,3109
185,3878,7545
186,2463,8702
187,2296,7759
188,7763,888
189,4999,3646
190,3878,5796
191,2463,2527
192,2471,1992
193,3216,5410
194,2296,383
195,2481,3216
196,7123,6483
197,2798,4156
198,2463,3106
199,7123,4162
200,4381,3152
201,874,6464
202,7764,8756
203,5273,5777
204,7123,251
205,7123,4543
206,2798,2792
207,2798,7848
208,1171,6180
209,7123,4894
210,2304,4880
211,2892,1447
212,2798,2215
213,2463,5425
214,874,3002
215,3878,6841
216,2892,1833
217,2798,253
218,3216,3496
219,2798,4753
220,8521,2749
221,2463,1128
222,7458,4838
223,2792,2637
224,2792,6427
225,4999,2649
226,1433,1843
227,1433,8033
228,874,3098
229,3216,2136
230,2892,226
231,2792,8715
232,2471,6324
