,Gene,index
0,A1BG,0
1,A2M-AS1,1
2,A4GALT,2
3,AAAS,3
4,AACS,4
5,AAED1,5
6,AAGAB,6
7,AAK1,7
8,AAMDC,8
9,AAR2,9
10,AARSD1,10
11,AASDHPPT,11
12,AATBC,12
13,AATK,13
14,ABALON,14
15,ABAT,15
16,ABCA1,16
17,ABCA2,17
18,ABCA3,18
19,ABCA5,19
20,ABCA7,20
21,ABCB1,21
22,ABCB10,22
23,ABCB4,23
24,ABCB6,24
25,ABCB8,25
26,ABCC10,26
27,ABCC11,27
28,ABCC3,28
29,ABCC6,29
30,ABCD1,30
31,ABCD2,31
32,ABCD4,32
33,ABCF2,33
34,ABCF3,34
35,ABCG1,35
36,ABHD1,36
37,ABHD11,37
38,ABHD12,38
39,ABHD14A,39
40,ABHD14B,40
41,ABHD15,41
42,ABHD17A,42
43,ABHD17B,43
44,ABHD17C,44
45,ABHD2,45
46,ABHD3,46
47,ABHD4,47
48,ABHD5,48
49,ABHD6,49
50,ABI2,50
51,ABI3,51
52,ABLIM1,52
53,ABLIM3,53
54,ABO,54
55,ABR,55
56,ABRACL,56
57,ABTB2,57
58,AC002117.1,58
59,AC002331.1,59
60,AC002451.3,60
61,AC002454.1,61
62,AC004069.2,62
63,AC004156.3,63
64,AC004754.3,64
65,AC004854.4,65
66,AC004951.6,66
67,AC005082.12,67
68,AC006129.2,68
69,AC006369.2,69
70,AC006449.2,70
71,AC007038.7,71
72,AC007325.4,72
73,AC007349.5,73
74,AC007381.3,74
75,AC007383.3,75
76,AC007386.2,76
77,AC007386.4,77
78,AC007405.6,78
79,AC007880.1,79
80,AC008079.10,80
81,AC008088.4,81
82,AC008753.6,82
83,AC009120.10,83
84,AC009473.1,84
85,AC009495.2,85
86,AC009506.1,86
87,AC009948.5,87
88,AC010226.4,88
89,AC011043.1,89
90,AC011893.3,90
91,AC011899.9,91
92,AC012074.2,92
93,AC012123.1,93
94,AC013264.2,94
95,AC013461.1,95
96,AC015971.2,96
97,AC015987.1,97
98,AC016549.1,98
99,AC016831.7,99
100,AC017002.1,100
101,AC018766.4,101
102,AC020571.3,102
103,AC022182.1,103
104,AC023590.1,104
105,AC025171.1,105
106,AC027601.1,106
107,AC069277.2,107
108,AC069363.1,108
109,AC073934.6,109
110,AC074289.1,110
111,AC078883.3,111
112,AC079305.10,112
113,AC079630.4,113
114,AC079742.4,114
115,AC079767.4,115
116,AC083843.1,116
117,AC084082.3,117
118,AC092535.3,118
119,AC092580.4,119
120,AC093323.3,120
121,AC093495.4,121
122,AC093627.10,122
123,AC093673.5,123
124,AC093818.1,124
125,AC097713.4,125
126,AC097724.3,126
127,AC104024.1,127
128,AC104653.1,128
129,AC104655.3,129
130,AC104699.1,130
131,AC104820.2,131
132,AC108004.3,132
133,AC109826.1,133
134,AC110781.3,134
135,AC113404.1,135
136,AC114752.3,136
137,AC131056.3,137
138,AC133644.2,138
139,AC137932.4,139
140,AC137932.6,140
141,AC144831.1,141
142,AC145110.1,142
143,AC147651.4,143
144,AC159540.1,144
145,AC241585.2,145
146,AC245100.1,146
147,ACAA1,147
148,ACAA2,148
149,ACADM,149
150,ACADS,150
151,ACADVL,151
152,ACAP1,152
153,ACAP2,153
154,ACAT2,154
155,ACBD3,155
156,ACBD4,156
157,ACBD5,157
158,ACBD6,158
159,ACCS,159
160,ACD,160
161,ACE,161
162,ACER3,162
163,ACIN1,163
164,ACLY,164
165,ACOT11,165
166,ACOT2,166
167,ACOT4,167
168,ACOT7,168
169,ACOT8,169
170,ACOT9,170
171,ACOX1,171
172,ACP1,172
173,ACP2,173
174,ACP5,174
175,ACPP,175
176,ACRBP,176
177,ACSBG1,177
178,ACSF2,178
179,ACSL1,179
180,ACSL4,180
181,ACSL5,181
182,ACSL6,182
183,ACSM3,183
184,ACSS1,184
185,ACSS2,185
186,ACTA2,186
187,ACTB,187
188,ACTG1,188
189,ACTL6A,189
190,ACTN1,190
191,ACTN4,191
192,ACTR1A,192
193,ACTR1B,193
194,ACTR2,194
195,ACTR3,195
196,ACTR3B,196
197,ACTR6,197
198,ACVR1C,198
199,ACVR2A,199
200,ACVR2B,200
201,ACY3,201
202,ACYP1,202
203,ADA,203
204,ADAM10,204
205,ADAM12,205
206,ADAM15,206
207,ADAM17,207
208,ADAM19,208
209,ADAM23,209
210,ADAM28,210
211,ADAM8,211
212,ADAM9,212
213,ADAMDEC1,213
214,ADAMTS1,214
215,ADAMTS10,215
216,ADAMTS4,216
217,ADAMTS5,217
218,ADAMTS6,218
219,ADAMTSL4,219
220,ADAMTSL5,220
221,ADAP1,221
222,ADAP2,222
223,ADARB1,223
224,ADCK2,224
225,ADCK3,225
226,ADCY3,226
227,ADCY7,227
228,ADD1,228
229,ADD2,229
230,ADD3,230
231,ADGRA2,231
232,ADGRA3,232
233,ADGRB3,233
234,ADGRD1,234
235,ADGRD2,235
236,ADGRE1,236
237,ADGRE2,237
238,ADGRE3,238
239,ADGRE5,239
240,ADGRG1,240
241,ADGRG3,241
242,ADGRG5,242
243,ADGRG6,243
244,ADGRV1,244
245,ADH5,245
246,ADHFE1,246
247,ADI1,247
248,ADIPOR1,248
249,ADK,249
250,ADM,250
251,ADORA1,251
252,ADORA2A-AS1,252
253,ADORA2B,253
254,ADORA3,254
255,ADPRH,255
256,ADPRHL2,256
257,ADPRM,257
258,ADRB1,258
259,ADRB2,259
260,ADRBK1,260
261,ADRBK2,261
262,ADRM1,262
263,ADSL,263
264,ADTRP,264
265,AE000662.92,265
266,AEBP1,266
267,AEN,267
268,AES,268
269,AF064858.8,269
270,AF127936.9,270
271,AF129408.17,271
272,AF131217.1,272
273,AF146191.4,273
274,AF213884.2,274
275,AFAP1L1,275
276,AFAP1L2,276
277,AFF1,277
278,AFF3,278
279,AFMID,279
280,AFTPH,280
