,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PDCD2,-0.05224188,1.2308366,-0.039423823,-0.09064587,-0.071100846,1.1329422,-0.0018418848,6.5687656,-0.015555831,4.015158,-0.02323643,-0.06186418,-0.043946803,3.5868506,-0.018922988,6.9412045
MBTD1,-0.04500277,0.940949,-0.03550532,-0.08404282,-0.064226985,0.8379002,-0.005605313,5.9559793,-0.014007343,4.227412,-0.024876386,-0.05866766,-0.043739032,3.247599,-0.019103037,6.569936
SMAD2,-0.06153141,1.9987497,-0.04805027,-0.108302966,-0.095143765,2.1658783,0.24506986,8.2842455,-0.02058214,5.2563505,-0.028789414,-0.07092301,-0.051630583,4.0961103,-0.024153855,7.9238997
ARID3B,-0.047277775,1.2013407,-0.04394563,-0.08868497,-0.06695148,1.4919975,-0.0028458335,6.5827265,-0.020050203,3.661095,-0.017591238,-0.05814006,-0.039363354,3.456396,-0.01540744,6.731947
HOMER1,-0.055359043,1.3992107,-0.042221885,-0.09633724,-0.07549829,1.24204,-0.0017437708,7.027228,-0.015740931,4.269173,-0.024957027,-0.06582391,-0.046693824,3.7536721,-0.020173015,7.3060446
GYPE,-0.05381288,1.2990226,-0.04106711,-0.09359456,-0.07314711,1.2202009,-0.0017946886,6.7899194,-0.015935836,4.117629,-0.024089407,-0.06395681,-0.04516667,3.6672802,-0.01891629,7.1487794
ZBTB2,-0.089369036,3.8244805,-0.071787305,-0.15758099,-0.13621178,3.0578911,0.15914342,12.037596,-0.022478437,7.595512,-0.043111265,-0.102321416,-0.07419091,5.5275817,-0.036405288,10.854741
MRS2,-0.089369036,3.8244805,-0.071787305,-0.15758099,-0.13621178,3.0578911,0.15914342,12.037596,-0.022478437,7.595512,-0.043111265,-0.102321416,-0.07419091,5.5275817,-0.036405288,10.854741
ISCA1,-0.055868644,1.4188863,-0.042711053,-0.09716562,-0.07614486,1.2786019,-0.0018781817,7.068328,-0.015862767,4.3081584,-0.025303733,-0.066492915,-0.047164932,3.7794847,-0.020228881,7.340109
AMN1,-0.06450643,1.8974086,-0.050423525,-0.11284577,-0.08930493,1.6445913,-0.001772438,8.263871,-0.017788084,5.0503826,-0.030073049,-0.07713588,-0.054878823,4.2942867,-0.02344829,8.335388
ITGA4,-0.06488301,1.9095798,-0.050812747,-0.11341134,-0.08991587,1.6707498,-0.002099665,8.291591,-0.017631745,5.091271,-0.030356938,-0.07771396,-0.055389352,4.307887,-0.023688171,8.33697
CYP1B1,-0.057111483,1.5286868,-0.04462379,-0.101601645,-0.07919492,1.4212834,-5.105935e-05,7.349535,-0.017438194,4.45227,-0.02456788,-0.06841495,-0.047636718,3.8889441,-0.02105449,7.8034716
