,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,3.8862302,-0.027169315,-0.056489248,4.3197618,7.357352,-0.03904625,8.087324,-0.00073024153,2.42845,-0.05569491,6.142133,4.728258,-0.07827388,3.9861865,-0.07591723,-0.091653824
ARNT2,3.9029603,-0.0272409,-0.056667093,4.3208814,7.388042,-0.039231732,8.103216,-0.00091994845,2.4366891,-0.05571802,6.1662073,4.7361064,-0.078433916,3.9973989,-0.076108366,-0.091792
BTG2,3.8734884,-0.027079022,-0.056305103,4.3127446,7.327239,-0.038870208,8.068208,-0.0005907088,2.4220405,-0.055619378,6.1231227,4.7183337,-0.07809263,3.9749005,-0.07574101,-0.091446854
MED4,3.8702605,-0.02709689,-0.056351542,4.313178,7.3279324,-0.03887918,8.065239,-0.0005827181,2.4179602,-0.0556073,6.120835,4.7130733,-0.07809617,3.9807515,-0.0757307,-0.09147944
SOAT1,3.8917277,-0.027174884,-0.056545597,4.313618,7.3619432,-0.039078522,8.082045,-0.00087472744,2.4296796,-0.0556435,6.1539893,4.7285533,-0.07825541,3.9921806,-0.07599069,-0.09155813
TLE1,3.8952043,-0.027191639,-0.056589346,4.3198376,7.3727484,-0.03915101,8.096485,-0.00080746785,2.4304256,-0.055729054,6.1575074,4.7351646,-0.0783848,3.9921086,-0.07602258,-0.09171872
NFATC2IP,3.853529,-0.02699072,-0.056118205,4.31137,7.297217,-0.038701072,8.046032,-0.00039712765,2.4071982,-0.055579647,6.090835,4.701461,-0.07789029,3.9677083,-0.07547152,-0.09135232
GM13597,1.4311051,-0.016505765,-0.031339455,1.4591339,2.602362,-0.01702407,4.12274,1.337708,0.6411615,-0.020930197,2.7234085,2.0157826,-0.04040563,2.1199791,-0.03255713,-0.04236806
SOX4,3.8780658,-0.02712656,-0.056443717,4.315392,7.3447785,-0.038966935,8.073574,-0.00067406695,2.421075,-0.055628713,6.1351843,4.7188883,-0.078180656,3.9872303,-0.07584856,-0.09154696
YEATS2,4.371125,-0.024607599,-0.05720479,3.1712499,5.867958,-0.033475373,8.251473,0.19406287,2.9264655,-0.045306716,5.4782014,4.230058,-0.07675929,3.3591266,-0.07796559,-0.081273355
TXNDC12,2.9052932,-0.031224389,-0.054165404,3.652269,7.2831526,-0.04176474,7.9764853,0.16897123,1.8051809,-0.053628657,5.727978,4.9260736,-0.072475486,3.0734313,-0.06661456,-0.08218683
ODC1,3.8400357,-0.026925106,-0.05599594,4.30827,7.2871184,-0.03866838,8.03757,-0.00026451505,2.3936245,-0.055568986,6.078295,4.6979446,-0.07779406,3.9567924,-0.07528408,-0.09126303
GM24044,1.4311051,-0.016505765,-0.031339455,1.4591339,2.602362,-0.01702407,4.12274,1.337708,0.6411615,-0.020930197,2.7234085,2.0157826,-0.04040563,2.1199791,-0.03255713,-0.04236806
CRAMP1L,3.8994799,-0.027227975,-0.05665262,4.3103604,7.3749423,-0.039157026,8.085443,-0.0010028338,2.4349625,-0.055602748,6.167248,4.729581,-0.078311354,3.9970326,-0.076090686,-0.09157042
YAF2,3.9204473,-0.027238805,-0.05671538,4.3141775,7.408118,-0.03938786,8.111883,-0.0012004655,2.4452832,-0.055728093,6.191876,4.752714,-0.078488976,3.996772,-0.07624078,-0.09171278
SLC25A4,3.8690007,-0.027066812,-0.056313284,4.3138275,7.3236375,-0.038860217,8.062833,-0.00056372164,2.4158032,-0.055626765,6.1166615,4.7132483,-0.07806922,3.9784682,-0.07570622,-0.09147604
GM14303,1.4311051,-0.016505765,-0.031339455,1.4591339,2.602362,-0.01702407,4.12274,1.337708,0.6411615,-0.020930197,2.7234085,2.0157826,-0.04040563,2.1199791,-0.03255713,-0.04236806
KRBA1,3.8764296,-0.027118934,-0.056396935,4.3113737,7.335171,-0.0389215,8.065969,-0.0007052034,2.4216511,-0.055615377,6.131643,4.718574,-0.07810348,3.9818633,-0.07581302,-0.09144069
MAGED1,3.9204538,-0.02754679,-0.056810696,4.309313,7.4145494,-0.03904342,8.117449,-0.0009766907,2.4823766,-0.05501252,6.1616216,4.685276,-0.07820506,3.9599838,-0.076340236,-0.09195454
PDIA6,3.8760116,-0.027088711,-0.056378108,4.315372,7.336218,-0.038927007,8.072981,-0.000612631,2.4195397,-0.05564536,6.1287193,4.7200966,-0.07816509,3.9830444,-0.07578834,-0.09152932
PHLDA3,3.8747783,-0.027108831,-0.056379333,4.3156953,7.334785,-0.03891766,8.07047,-0.0006128489,2.4203575,-0.055636864,6.125431,4.7166862,-0.078133784,3.9818954,-0.07577692,-0.09153149
DCXR,3.8786318,-0.027145535,-0.056452435,4.309113,7.338381,-0.03892996,8.065243,-0.0007477407,2.4245658,-0.055555463,6.136302,4.7147927,-0.07811861,3.9870203,-0.07586005,-0.091431126
COL27A1,3.85936,-0.027059752,-0.05621132,4.310463,7.3072166,-0.038744297,8.055234,-0.0004739336,2.4152412,-0.05554424,6.1036453,4.707111,-0.07796168,3.9713268,-0.07557891,-0.091338255
POLR2K,3.8666356,-0.027053088,-0.05628874,4.2999067,7.3132367,-0.03881055,8.050003,-0.0006770385,2.4156764,-0.055514425,6.1255,4.713997,-0.077960886,3.9755173,-0.07570564,-0.09117226
FOXP1,3.8894482,-0.027181985,-0.05655317,4.3207245,7.361432,-0.039087072,8.087117,-0.000771926,2.4280715,-0.055717163,6.144982,4.7277374,-0.07831273,3.9913485,-0.07596423,-0.091709375
NOTCH1,2.3604662,-0.015945327,-0.034681022,5.1573915,6.3766313,-0.024835743,6.101507,-0.009669367,2.3062701,-0.060650315,4.8881927,4.0613914,-0.06624253,4.3537345,-0.056324635,-0.07380236
PHF14,3.8722897,-0.027065506,-0.056308612,4.32021,7.329431,-0.038882907,8.06729,-0.0005738449,2.416668,-0.05570918,6.1193066,4.71852,-0.078105174,3.9794202,-0.07572739,-0.091564775
SOX15,3.869001,-0.027082039,-0.05629715,4.3134327,7.325943,-0.03887288,8.064188,-0.0005460752,2.417839,-0.055642795,6.1189632,4.715274,-0.078075685,3.9716423,-0.075696066,-0.09146724
PARVB,3.8782501,-0.027107311,-0.056414876,4.318593,7.3414006,-0.038964238,8.076043,-0.0006060522,2.4208324,-0.055677876,6.129103,4.719232,-0.07820342,3.9832404,-0.075817205,-0.09162011
FOSL2,4.2626157,-0.0136102745,-0.037149344,4.3040295,7.8709655,-0.033670984,6.844629,-0.006043015,1.7703425,-0.046863582,6.573851,4.485069,-0.0600548,2.2859662,-0.059308097,-0.07315771
TAF6,3.8570185,-0.026987327,-0.056126673,4.3107367,7.301608,-0.038734086,8.047298,-0.00044208966,2.40716,-0.055600293,6.0959973,4.705996,-0.07788897,3.9648361,-0.07550921,-0.09135227
PURA,3.8532746,-0.026998717,-0.05616134,4.312113,7.3052917,-0.038764462,8.049904,-0.00040646797,2.4077046,-0.055598088,6.093749,4.703095,-0.07793399,3.9693608,-0.075506166,-0.091410875
GJB3,3.866623,-0.02703403,-0.05625955,4.3159466,7.32501,-0.03886515,8.06473,-0.00050575775,2.4187129,-0.05563489,6.1121883,4.7173305,-0.07811793,3.973896,-0.075617485,-0.09146916
SNORD43,1.4311051,-0.016505765,-0.031339455,1.4591339,2.602362,-0.01702407,4.12274,1.337708,0.6411615,-0.020930197,2.7234085,2.0157826,-0.04040563,2.1199791,-0.03255713,-0.04236806
HNRNPK,3.862959,-0.02704834,-0.05625494,4.3127713,7.31565,-0.03881491,8.057184,-0.0004890002,2.411704,-0.055597533,6.1059947,4.707276,-0.07800631,3.9738398,-0.075611666,-0.091451
MYBBP1A,2.3871098,-0.01609506,-0.034999397,5.1766486,6.444642,-0.02516196,6.1306496,-0.010114011,2.3272688,-0.060843237,4.9360924,4.081519,-0.066603765,4.3819656,-0.056706887,-0.07411866
CREB3,3.8858435,-0.02737576,-0.05642263,4.3174505,7.352931,-0.038642585,8.097397,-0.00040683843,2.4647794,-0.055088058,6.113008,4.677376,-0.07797028,3.936306,-0.076012656,-0.091801606
SLC5A11,3.8272681,-0.026886005,-0.055855956,4.3073344,7.261807,-0.038519017,8.019359,-0.00020078532,2.3958938,-0.055443987,6.0646987,4.6854606,-0.077638,3.9547324,-0.07515183,-0.09109126
ATF2,3.5179029,-0.029183287,-0.053943753,4.1086125,7.484024,-0.04164686,8.30353,-0.0023499036,2.753203,-0.051964883,5.8508296,4.515172,-0.07660964,3.9180014,-0.07136307,-0.0878716
GM8355,1.7024654,-0.015198853,-0.031851467,0.8480597,1.8253554,-0.014161589,4.2238164,1.4691838,0.91554064,-0.015408541,2.3825321,1.7563503,-0.039722484,1.790749,-0.03379906,-0.03694323
E2F6,3.8682783,-0.027076324,-0.056322984,4.312722,7.3240128,-0.038861606,8.064145,-0.00055980333,2.4151704,-0.055613365,6.119277,4.7141657,-0.078073926,3.9798994,-0.0757028,-0.09144691
KRT8,3.4864855,-0.026178919,-0.05651523,3.5730925,6.673944,-0.03582093,7.7495627,0.43086344,2.2359848,-0.04683919,6.2086163,4.1548104,-0.08018027,4.291352,-0.07059146,-0.08471554
FOXJ3,4.2327824,-0.013453898,-0.03681487,4.296106,7.819527,-0.033371214,6.816288,-0.0057115215,1.7488036,-0.046772297,6.5322742,4.4682,-0.059766334,2.2670074,-0.05889586,-0.0728529
TCL1,2.904576,-0.031194134,-0.054148357,3.656385,7.280874,-0.041752987,7.9760184,0.17596214,1.8027074,-0.05366587,5.7234354,4.92312,-0.0724988,3.074591,-0.06658439,-0.08226018
FGF10,3.8999238,-0.027241426,-0.05664902,4.3160143,7.380867,-0.03918665,8.091779,-0.0009662768,2.4360318,-0.055655427,6.165228,4.731754,-0.07834706,3.9954848,-0.07608704,-0.09166727
MYMX,3.9191728,-0.02825551,-0.057125337,4.016659,7.1116185,-0.04186235,7.4143114,-0.003296391,2.620279,-0.056277454,5.666865,4.1861567,-0.077090174,3.8479614,-0.07449917,-0.093303174
ARID1A,3.2200296,-0.024086406,-0.049684115,3.6848505,6.0743484,-0.03298486,7.1659436,0.4676087,1.9382457,-0.048167706,5.1438375,4.032357,-0.06916393,3.4347064,-0.064877905,-0.08116883
HEY2,3.879315,-0.027122509,-0.05642457,4.30846,7.3369713,-0.03893304,8.068208,-0.00074860646,2.4236772,-0.05557611,6.137131,4.7195196,-0.07812225,3.985427,-0.07584684,-0.09140761
GM44429,1.4306486,-0.016493082,-0.031332135,1.4618027,2.6013217,-0.017002242,4.119883,1.3383377,0.64251643,-0.020934036,2.7204635,2.0173953,-0.040427964,2.121069,-0.03252946,-0.04232698
IRF4,3.9206262,-0.027305588,-0.056816135,4.312606,7.4111886,-0.0394039,8.1054735,-0.0012087135,2.4465506,-0.055595707,6.1892333,4.739391,-0.07850165,4.007773,-0.07624795,-0.09174556
OVOL1,3.8439944,-0.026946452,-0.056003522,4.307137,7.2785106,-0.038572267,8.035429,-0.00032645077,2.403251,-0.055484723,6.079599,4.6961327,-0.07775839,3.9620872,-0.07535028,-0.09118075
SIN3A,1.9654564,-0.01775211,-0.035018697,2.23562,3.3612542,-0.01955229,4.9487677,1.1957728,1.0741959,-0.028880073,3.1986902,2.6090088,-0.047962368,2.2969437,-0.042500187,-0.054519366
MIR291B,1.4307884,-0.016509946,-0.031335447,1.4598881,2.6017444,-0.017024826,4.1227403,1.3374497,0.6417408,-0.020925488,2.7235756,2.015577,-0.040406466,2.1199625,-0.03255415,-0.042354554
EIF4A2,3.823249,-0.026808187,-0.05572416,4.2979326,7.2482653,-0.038422335,8.016613,-9.784795e-05,2.3880146,-0.055409692,6.049521,4.6824083,-0.07754005,3.9435418,-0.075009085,-0.090979286
ZFP989,1.5049822,-0.016243588,-0.03140384,1.4868386,2.6175973,-0.01739969,4.145799,1.3621601,0.69872427,-0.020462753,2.7579563,2.0004125,-0.040782876,2.0909247,-0.033073243,-0.042483367
NR2F2,3.9000797,-0.027252814,-0.056668885,4.3185015,7.386327,-0.039226968,8.09709,-0.00093027967,2.4351091,-0.05567171,6.1644883,4.732173,-0.07839288,3.9962552,-0.07607792,-0.091743745
LDLRAP1,3.8849995,-0.027159724,-0.056501187,4.3180656,7.3510947,-0.039019775,8.080526,-0.00075016764,2.4262652,-0.055682182,6.140353,4.7248588,-0.07824163,3.9894676,-0.07592042,-0.091620564
BAZ1A,3.871629,-0.027206514,-0.056511614,4.3145604,7.3462124,-0.039040796,8.078544,-0.00064667925,2.4158823,-0.05569148,6.131255,4.7217402,-0.07818689,3.988228,-0.0758127,-0.09160349
MCM2,3.8636808,-0.027040295,-0.05626195,4.299083,7.3086,-0.038760487,8.050203,-0.00059555436,2.4153674,-0.05544249,6.119367,4.707286,-0.07795039,3.9768703,-0.075660035,-0.09117505
PHF12,3.8539588,-0.02703886,-0.056159303,4.3111105,7.302996,-0.038714375,8.053292,-0.00039505033,2.4106424,-0.055555757,6.0962095,4.704498,-0.07793215,3.9673772,-0.07550616,-0.091350555
POU4F2,3.8686895,-0.027102716,-0.056334198,4.3168397,7.3267207,-0.03887186,8.068469,-0.00059040304,2.4183936,-0.05564794,6.1171885,4.717598,-0.07810352,3.9810522,-0.075708665,-0.091494694
RARG,2.9212344,-0.03140639,-0.05449367,3.6564302,7.334494,-0.042123463,8.010454,0.15050797,1.8110175,-0.05379231,5.765432,4.948027,-0.07280163,3.0852802,-0.066891775,-0.082458705
GLMP,3.8243287,-0.026894629,-0.055864967,4.297498,7.257745,-0.03851003,8.019079,-0.00021427863,2.3943706,-0.05539563,6.058236,4.6826496,-0.077625796,3.9504168,-0.07510157,-0.0909879
CUX1,3.8789563,-0.027124688,-0.056412466,4.3176684,7.3457193,-0.03897917,8.076542,-0.0006559514,2.4219368,-0.055665776,6.132093,4.720363,-0.078179836,3.983404,-0.07581894,-0.09159212
FST,3.8843174,-0.0271382,-0.05643188,4.318227,7.3503613,-0.038990855,8.081244,-0.0007240712,2.4273548,-0.055663828,6.1398625,4.726458,-0.07820724,3.984881,-0.075884506,-0.09157535
TEAD3,3.8956125,-0.027215278,-0.05660834,4.31956,7.3759527,-0.03915861,8.090998,-0.0008648334,2.4311943,-0.055696025,6.157469,4.730182,-0.07833758,3.9932458,-0.07603412,-0.09171747
GAS6,3.8956468,-0.027221914,-0.056612115,4.31909,7.374289,-0.039144132,8.090751,-0.0008905679,2.4332733,-0.05568909,6.159926,4.732658,-0.07834588,3.9946883,-0.07604656,-0.09167189
DPP4,3.88587,-0.02717521,-0.056505077,4.318787,7.3579745,-0.039049923,8.084052,-0.0007542316,2.4275208,-0.05568154,6.1438775,4.726897,-0.07825525,3.9875858,-0.075929224,-0.091626436
GM22862,1.4311051,-0.016505765,-0.031339455,1.4591339,2.602362,-0.01702407,4.12274,1.337708,0.6411615,-0.020930197,2.7234085,2.0157826,-0.04040563,2.1199791,-0.03255713,-0.04236806
CSRP2,3.8471367,-0.026959343,-0.05606892,4.3106327,7.2945294,-0.038715005,8.044532,-0.00031954222,2.3996274,-0.0555891,6.0842986,4.701628,-0.07786568,3.9595714,-0.075380005,-0.09134161
KEAP1,3.8919308,-0.027191533,-0.056545846,4.3195,7.3674607,-0.039107613,8.091722,-0.00080502126,2.4309545,-0.055706456,6.1520224,4.7317395,-0.07831788,3.989889,-0.07598675,-0.09167713
RNF14,3.8805919,-0.027159588,-0.056463473,4.311356,7.3434696,-0.038972586,8.074398,-0.00075025146,2.4266572,-0.055605754,6.1380324,4.7208695,-0.07817599,3.9862754,-0.07587195,-0.091483556
